Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
Sara,160,16.0,33,3.3,807,80.7,18.197
Alban,103,10.3,37,3.7,860,86.0,17.758
RobotDiscret1,222,22.2,40,4.0,738,73.799995,22.445
RobotDiscret2,217,21.699999,36,3.6,747,74.7,22.457
RobotDiscret3,243,24.3,37,3.7,720,72.0,22.586
RobotDiscret4,243,24.3,39,3.9,718,71.8,22.592
Stacy,529,52.899998,44,4.4,427,42.699997,22.994
Richardo,97,9.700001,19,1.9,884,88.4,17.89
Sara,164,16.4,26,2.6000001,810,81.0,18.223
Alban,154,15.4,24,2.4,822,82.200005,18.151
RobotDiscret1,235,23.5,41,4.1,724,72.399994,22.668
RobotDiscret2,219,21.9,52,5.2000003,729,72.899994,22.481
RobotDiscret3,222,22.2,40,4.0,738,73.799995,22.526
RobotDiscret4,243,24.3,38,3.8,719,71.9,22.557
Stacy,487,48.699997,50,5.0,463,46.3,22.765
Richardo,162,16.2,32,3.2,806,80.6,18.966
Sara,169,16.9,36,3.6,795,79.5,18.571
Alban,111,11.1,28,2.8000002,861,86.1,17.963
RobotDiscret1,238,23.800001,45,4.5,717,71.7,22.653
RobotDiscret2,211,21.1,55,5.5,734,73.4,22.614
RobotDiscret3,233,23.3,35,3.5,732,73.2,22.507
RobotDiscret4,232,23.199999,45,4.5,723,72.299995,22.503
Stacy,505,50.5,42,4.2,453,45.3,23.117
Richardo,161,16.1,23,2.3,816,81.6,18.918
Sara,164,16.4,35,3.5,801,80.1,18.384
Alban,109,10.9,23,2.3,868,86.799995,17.762
RobotDiscret1,210,21.0,35,3.5,755,75.5,22.166
RobotDiscret2,233,23.3,35,3.5,732,73.2,22.436
RobotDiscret3,251,25.099998,43,4.3,706,70.6,22.698
RobotDiscret4,233,23.3,37,3.7,730,73.0,22.438
Stacy,518,51.8,52,5.2000003,430,43.0,23.34
Richardo,136,13.6,31,3.1,833,83.3,18.404
Sara,179,17.9,33,3.3,788,78.799995,18.582
Alban,97,9.700001,28,2.8000002,875,87.5,17.646
RobotDiscret1,217,21.699999,47,4.7,736,73.6,22.386
RobotDiscret2,224,22.400002,49,4.9,727,72.7,22.524
RobotDiscret3,234,23.4,50,5.0,716,71.6,22.615
RobotDiscret4,227,22.7,57,5.7,716,71.6,22.602
Stacy,532,53.2,49,4.9,419,41.9,23.186
Richardo,130,13.0,35,3.5,835,83.5,18.587
Sara,170,17.0,36,3.6,794,79.4,18.354
Alban,97,9.700001,24,2.4,879,87.9,17.23
RobotDiscret1,236,23.6,30,3.0,734,73.4,22.484
RobotDiscret2,218,21.8,43,4.3,739,73.9,22.397
RobotDiscret3,260,26.0,42,4.2,698,69.8,22.666
RobotDiscret4,210,21.0,43,4.3,747,74.7,22.484
Stacy,545,54.5,41,4.1,414,41.4,23.208
Richardo,164,16.4,31,3.1,805,80.5,18.791
Sara,141,14.1,24,2.4,835,83.5,17.948
Alban,90,9.0,26,2.6000001,884,88.4,17.507
RobotDiscret1,214,21.4,41,4.1,745,74.5,22.423
RobotDiscret2,217,21.699999,54,5.4,729,72.899994,22.624
RobotDiscret3,241,24.1,50,5.0,709,70.9,22.545
RobotDiscret4,234,23.4,50,5.0,716,71.6,22.501
